year,selling_price,is_diesel,owner,is_automatic,km_driven,seats,mileage (kmpl),max_horse_power,is_individual_seller,engine_capacity_(cc)
2017,520000,1,1,0,28832,5,23.4,74,-1,1248
2012,190000,0,1,0,65000,5,21.1,55.2,1,814
2015,1200000,1,1,0,61000,7,12.99,100.6,1,2494
2006,135000,0,2,0,70000,5,15.9,85,1,1298
2013,246000,1,1,0,56000,5,22.1,74,-1,1248
2018,1035000,1,1,0,15000,5,25.5,98.6,1,1498
2015,300000,0,1,0,60000,5,25.17,53.3,1,799
2015,440000,1,1,0,110000,5,26.59,74,1,1248
2015,400000,0,1,0,49907,5,21.63,67.04,-1,998
2017,3200000,1,1,1,45000,5,19.33,177,-1,1999
2013,325000,1,2,0,60000,5,24.7,98.63,-1,1498
2016,550000,1,2,0,90000,5,22.54,88.73,1,1396
2010,250000,1,2,0,100000,5,17.5,106,1,1896
2017,650000,1,2,0,35000,5,27.39,74,1,1248
2012,190000,1,2,0,112000,5,20,68,1,1399
2012,250000,0,1,0,90000,5,20.92,67.1,1,998
2010,425000,1,1,0,129000,8,12.8,102,1,2494
2013,459999,0,2,0,35000,5,19.1,85.8,1,1197
2009,380000,1,1,0,150000,7,13.93,138,1,2179
2018,560000,0,1,0,20000,5,21.4,83.1,1,1197
2008,200000,1,1,0,80000,10,12.2,68,1,1948
2006,120000,0,2,0,30000,5,19.7,46.3,1,796
2017,430000,0,1,0,10000,5,23.1,67.04,1,998
2016,260000,0,1,0,60000,5,25.17,53.3,1,799
2012,158000,1,2,0,110000,5,19.09,69,1,1396
2017,2625000,1,1,1,9000,5,13.6,177,-1,1999
2016,1025000,1,1,0,22522,7,16,140,-1,2179
2010,160000,0,3,0,60000,5,19.7,46.3,1,796
2019,650000,0,1,1,5621,5,22,81.8,-1,1197
2013,580000,1,2,0,67000,5,20.4,108.5,1,1461
2012,229999,1,4,0,70000,5,22.07,73.9,1,1199
2015,600000,1,1,0,70000,5,26.21,88.5,1,1248
2019,779000,0,1,1,7032,5,19,88.76,-1,1199
2017,350000,0,1,0,35000,5,17.57,88.7,1,1193
2010,500000,1,1,0,120000,7,13.1,141,1,2499
2009,120000,0,2,0,70000,5,13.2,94,1,1495
2013,375000,0,1,0,40000,5,20.36,78.9,1,1197
2014,395000,1,3,0,160000,5,24,70,-1,1120
2012,260000,1,1,0,194000,5,20,68,1,1399
2016,500000,1,1,0,30000,5,27.3,98.6,1,1498
2003,55599,0,1,0,36088,4,16.1,37,1,796
2017,2700000,1,1,1,23000,5,17.9,136,-1,2143
2018,551000,0,2,0,20000,5,18.9,81.86,1,1197
2013,280000,1,1,0,70000,5,25,69,1,1396
2005,90000,0,2,0,40000,5,19.7,46.3,1,796
2015,600000,0,1,0,90000,7,16.02,93.7,1,1373
2013,225000,0,1,0,58343,5,21.79,67.05,-1,998
2015,600000,0,1,1,80000,5,19,88.7,1,1199
2010,140000,0,2,0,80000,5,19.7,46.3,1,796
2012,320000,1,1,0,193000,5,19.3,73.9,1,1248
2015,715000,1,1,0,70000,7,15.4,120,1,2179
2013,525000,1,1,0,100000,5,23.4,74,1,1248
2008,229999,0,2,0,120000,5,17,118,1,1497
2013,229999,0,1,0,46000,5,18.2,84.8,1,1199
2013,295000,0,1,0,82246,5,20.36,78.9,-1,1197
2013,700000,1,1,0,62000,7,13.1,141,-1,2499
2019,630000,0,1,0,4000,5,21.21,81.8,1,1197
2018,451999,0,2,1,30000,5,23.1,67.04,1,998
2017,625000,0,1,0,25538,5,16.78,88.73,-1,1496
2010,421000,1,2,0,120000,7,13.6,63,1,2523
2016,700000,1,1,0,91182,7,15.96,62.1,1,2523
2018,900000,1,1,0,35000,7,24.52,88.5,1,1248
2016,600000,0,1,0,6757,5,21.01,81.8,-1,1197
2013,750000,1,2,0,79328,7,12.99,100.6,-1,2494
2013,250000,0,2,0,60000,5,14.09,99.6,1,1596
2012,370000,1,1,0,68000,5,23.4,74,1,1248
2009,135000,0,2,0,28900,5,0,65,1,1172
2014,545000,1,2,0,80000,5,22.32,126.32,1,1582
2016,300000,0,1,0,90000,5,23.84,84,1,1199
